SkillKey,AnimTrigger,VfxKey,SfxKey,IconKey
string,string,string,string,string
BEIGE_ICE_COLD_ACCUMULATION,,,,icon_beige_ice_passive
BEIGE_ICE_ICE_BOLT,Skill1,,,icon_beige_ice_skill1
BEIGE_ICE_ICE_SHIELD,Skill1,,,icon_beige_ice_skill2
BEIGE_ICE_HAIL,Skill1,,,icon_beige_ice_skill3
BEIGE_ICE_STORM_CENTER,Skill1,,,icon_beige_ice_skill4
BEIGE_ICE_COLD_HARD_WORKER,Skill1,,,icon_beige_ice_ulti
BEIGE_ICE_THAWING_POTION,,,,icon_beige_ice_sub
BEIGE_FIRE_HEAT_ACCUMULATION,,,,icon_beige_fire_passive
BEIGE_FIRE_FIREBALL,Skill1,,,icon_beige_fire_skill1
BEIGE_FIRE_EXPLOSION,Skill1,,,icon_beige_fire_skill2
BEIGE_FIRE_FIRE_WALL,Skill1,,,icon_beige_fire_skill3
BEIGE_FIRE_TELEPORT,Skill1,,,icon_beige_fire_skill4
BEIGE_FIRE_AMBITIOUS,Skill1,,,icon_beige_fire_ulti
BEIGE_FIRE_COOLING_POTION,,,,icon_beige_fire_sub
SUEN_AXE_MAN_IN_HELL,,,,icon_suen_axe_passive
SUEN_AXE_WEAPON_STRIKE,Skill1,,,icon_suen_axeon_skill1
SUEN_AXE_WEAPON_TECHNIQUE,Skill3,,,icon_suen_axeon_skill2
SUEN_AXE_CLEANER,Skill1,,,icon_suen_axe_skill3
SUEN_AXE_LONE_GROWING_MAN,Skill1,,,icon_suen_axe_skill3
SUEN_AXE_LAST_MAN_STANDING,Skill1,,,icon_suen_axe_ulti
SUEN_AXE_PICK_UP_AXE,,,,icon_suen_axe_sub
