ItemId,SheetAddress,SpriteName
string,string,string
food_bread,Item/Item1,Item1_0
food_chicken_leg,Item/Item1,Item1_1
food_jerky,Item/Item1,Item1_2
food_apple,Item/Item1,Item1_3
food_cheese,Item/Item1,Item1_4
food_fish,Item/Item1,Item1_5
food_wheat,Item/Item1,Item1_6
drink_water,Item/Item1,Item1_7
food_berry,Item/Item1,Item1_8
food_mushroom,Item/Item1,Item1_9
food_hard_biscuit,Item/Item1,Item1_10
food_herb,Item/Item1,Item1_11
food_onion,Item/Item2,Item2_0
food_potato,Item/Item2,Item2_1
food_carrot,Item/Item2,Item2_2
food_cabbage,Item/Item2,Item2_3
food_raw_meat,Item/Item2,Item2_4
food_egg,Item/Item2,Item2_5
food_flour,Item/Item2,Item2_6
food_honey,Item/Item2,Item2_7
food_bean,Item/Item2,Item2_8
food_butter,Item/Item2,Item2_9
food_salt,Item/Item2,Item2_10
food_tomato,Item/Item2,Item2_11
trade_iron_ingot,Item/Item3,Item3_8
trade_copper,Item/Item3,Item3_9
trade_gem,Item/Item3,Item3_4
trade_fur,Item/Item3,Item3_1
trade_frost_crystal,Item/Item3,Item3_5
trade_leather,Item/Item3,Item3_2
trade_dye,Item/Item3,Item3_6
trade_silk,Item/Item3,Item3_0
trade_spice,Item/Item3,Item3_3
trade_oil,Item/Item3,Item3_7
trade_pearl,Item/Item3,Item3_11
trade_wool,Item/Item3,Item3_10
